Date;Price
dez 1975;12,15
jan 1976;12,15
fev 1976;12,15
mar 1976;12,15
abr 1976;12,15
mai 1976;12,15
jun 1976;12,15
jul 1976;12,15
ago 1976;12,15
set 1976;12,15
out 1976;12,15
nov 1976;12,15
dez 1976;12,15
jan 1977;12,15
fev 1977;12,15
mar 1977;12,15
abr 1977;12,15
mai 1977;12,15
jun 1977;12,15
jul 1977;12,15
ago 1977;12,15
set 1977;12,15
out 1977;12,15
nov 1977;12,15
dez 1977;14,05
jan 1978;14,05
fev 1978;14,05
mar 1978;14,05
abr 1978;14,05
mai 1978;14,05
jun 1978;14,05
jul 1978;14,05
ago 1978;14,05
set 1978;14,05
out 1978;14,05
nov 1978;14,05
dez 1978;12,54
jan 1979;12,54
fev 1979;12,54
mar 1979;12,54
abr 1979;12,54
mai 1979;12,54
jun 1979;12,54
jul 1979;12,54
ago 1979;12,54
set 1979;12,54
out 1979;12,54
nov 1979;12,54
dez 1979;11,31
jan 1980;11,31
fev 1980;11,31
mar 1980;11,31
abr 1980;11,31
mai 1980;11,31
jun 1980;11,31
jul 1980;11,31
ago 1980;11,31
set 1980;11,31
out 1980;11,31
nov 1980;11,31
dez 1980;11,49
jan 1981;11,49
fev 1981;11,49
mar 1981;11,49
abr 1981;11,49
mai 1981;11,49
jun 1981;11,49
jul 1981;11,49
ago 1981;11,49
set 1981;11,49
out 1981;11,49
nov 1981;11,49
dez 1981;11,36
jan 1982;11,36
fev 1982;11,36
mar 1982;11,36
abr 1982;11,36
mai 1982;11,36
jun 1982;11,36
jul 1982;11,36
ago 1982;11,36
set 1982;11,36
out 1982;11,36
nov 1982;11,36
dez 1982;10,94
jan 1983;10,94
fev 1983;10,94
mar 1983;10,94
abr 1983;10,94
mai 1983;10,94
jun 1983;10,94
jul 1983;10,94
ago 1983;10,94
set 1983;10,94
out 1983;10,94
nov 1983;10,94
dez 1983;10,51
jan 1984;10,51
fev 1984;10,51
mar 1984;10,51
abr 1984;10,51
mai 1984;10,51
jun 1984;10,51
jul 1984;10,51
ago 1984;10,51
set 1984;10,51
out 1984;10,51
nov 1984;10,51
dez 1984;12,03
jan 1985;12,03
fev 1985;12,03
mar 1985;12,03
abr 1985;12,03
mai 1985;12,03
jun 1985;12,03
jul 1985;12,03
ago 1985;12,03
set 1985;12,03
out 1985;12,03
nov 1985;12,03
dez 1985;14,05
jan 1986;14,05
fev 1986;14,05
mar 1986;14,05
abr 1986;14,05
mai 1986;14,05
jun 1986;14,05
jul 1986;14,05
ago 1986;14,05
set 1986;14,05
out 1986;14,05
nov 1986;14,05
dez 1986;15,03
jan 1987;15,03
fev 1987;15,03
mar 1987;15,03
abr 1987;15,03
mai 1987;15,03
jun 1987;15,03
jul 1987;15,03
ago 1987;15,03
set 1987;15,03
out 1987;15,03
nov 1987;15,03
dez 1987;14,31
jan 1988;14,31
fev 1988;14,31
mar 1988;14,31
abr 1988;14,31
mai 1988;14,31
jun 1988;14,31
jul 1988;14,31
ago 1988;14,31
set 1988;14,31
out 1988;14,31
nov 1988;14,31
dez 1988;12,58
jan 1989;12,58
fev 1989;12,58
mar 1989;12,58
abr 1989;12,58
mai 1989;12,58
jun 1989;12,58
jul 1989;12,58
ago 1989;12,58
set 1989;12,58
out 1989;12,58
nov 1989;12,58
dez 1989;11,45
jan 1990;11,45
fev 1990;11,45
mar 1990;11,45
abr 1990;11,45
mai 1990;11,45
jun 1990;11,45
jul 1990;11,45
ago 1990;11,45
set 1990;11,45
out 1990;11,45
nov 1990;11,45
dez 1990;12,27
jan 1991;12,27
fev 1991;12,27
mar 1991;12,27
abr 1991;12,27
mai 1991;12,27
jun 1991;12,27
jul 1991;12,27
ago 1991;12,27
set 1991;12,27
out 1991;12,27
nov 1991;12,27
dez 1991;12,97
jan 1992;12,97
fev 1992;12,97
mar 1992;12,97
abr 1992;12,97
mai 1992;12,97
jun 1992;12,97
jul 1992;12,97
ago 1992;12,97
set 1992;12,97
out 1992;12,97
nov 1992;12,97
dez 1992;13,04
jan 1993;13,04
fev 1993;13,04
mar 1993;13,04
abr 1993;13,04
mai 1993;13,04
jun 1993;13,04
jul 1993;13,04
ago 1993;13,04
set 1993;13,04
out 1993;13,04
nov 1993;13,04
dez 1993;13,41
jan 1994;13,41
fev 1994;13,41
mar 1994;13,41
abr 1994;13,41
mai 1994;13,41
jun 1994;13,41
jul 1994;13,41
ago 1994;13,41
set 1994;13,41
out 1994;13,41
nov 1994;13,41
dez 1994;11,93
jan 1995;11,93
fev 1995;11,93
mar 1995;11,93
abr 1995;11,93
mai 1995;11,93
jun 1995;11,93
jul 1995;11,93
ago 1995;11,93
set 1995;11,93
out 1995;11,93
nov 1995;11,93
dez 1995;12,45
jan 1996;12,45
fev 1996;12,45
mar 1996;12,45
abr 1996;12,45
mai 1996;12,45
jun 1996;12,45
jul 1996;12,45
ago 1996;12,45
set 1996;12,45
out 1996;12,45
nov 1996;12,45
dez 1996;12,99
jan 1997;12,99
fev 1997;12,99
mar 1997;12,99
abr 1997;12,99
mai 1997;12,99
jun 1997;12,99
jul 1997;12,99
ago 1997;12,99
set 1997;12,99
out 1997;12,99
nov 1997;12,99
dez 1997;12,68
jan 1998;12,68
fev 1998;12,68
mar 1998;12,68
abr 1998;12,68
mai 1998;12,68
jun 1998;12,68
jul 1998;12,68
ago 1998;12,68
set 1998;12,68
out 1998;12,68
nov 1998;12,68
dez 1998;13,82
jan 1999;13,82
fev 1999;13,82
mar 1999;13,82
abr 1999;13,82
mai 1999;13,82
jun 1999;13,82
jul 1999;13,82
ago 1999;13,82
set 1999;13,82
out 1999;13,82
nov 1999;13,82
dez 1999;16,39
jan 2000;16,39
fev 2000;16,39
mar 2000;16,39
abr 2000;16,39
mai 2000;16,39
jun 2000;16,39
jul 2000;16,39
ago 2000;16,39
set 2000;16,39
out 2000;16,39
nov 2000;16,39
dez 2000;28,11
jan 2001;28,11
fev 2001;28,11
mar 2001;28,11
abr 2001;28,11
mai 2001;28,11
jun 2001;28,11
jul 2001;28,11
ago 2001;28,11
set 2001;28,11
out 2001;28,11
nov 2001;28,11
dez 2001;33,45
jan 2002;33,45
fev 2002;33,45
mar 2002;33,45
abr 2002;33,45
mai 2002;33,45
jun 2002;33,45
jul 2002;33,45
ago 2002;33,45
set 2002;33,45
out 2002;33,45
nov 2002;33,45
dez 2002;36,63
jan 2003;36,63
fev 2003;36,63
mar 2003;36,63
abr 2003;36,63
mai 2003;36,63
jun 2003;36,63
jul 2003;36,63
ago 2003;36,63
set 2003;36,63
out 2003;36,63
nov 2003;36,63
dez 2003;60,80
jan 2004;60,80
fev 2004;60,80
mar 2004;60,80
abr 2004;60,80
mai 2004;60,80
jun 2004;60,80
jul 2004;60,80
ago 2004;60,80
set 2004;60,80
out 2004;60,80
nov 2004;71,70
dez 2004;73,40
jan 2005;72,70
fev 2005;59,60
mar 2005;60,60
abr 2005;65,00
mai 2005;78,20
jun 2005;95,30
jul 2005;85,80
ago 2005;85,90
set 2005;88,40
out 2005;101,60
nov 2005;118,20
dez 2005;120,00
jan 2006;133,10
fev 2006;153,60
mar 2006;172,90
abr 2006;145,20
mai 2006;138,90
jun 2006;136,30
jul 2006;141,50
ago 2006;141,10
set 2006;149,10
out 2006;167,80
nov 2006;170,10
dez 2006;185,60
jan 2007;182,80
fev 2007;172,40
mar 2007;181,50
abr 2007;169,80
mai 2007;166,80
jun 2007;175,50
jul 2007;179,90
ago 2007;171,30
set 2007;118,40
out 2007;130,90
nov 2007;138,50
dez 2007;142,40
jan 2008;143,00
fev 2008;147,60
mar 2008;145,40
abr 2008;134,80
mai 2008;134,00
jun 2008;117,00
jul 2008;89,40
ago 2008;104,20
set 2008;119,30
out 2008;115,60
nov 2008;144,90
dez 2008;152,50
jan 2009;151,70
fev 2009;137,30
mar 2009;134,10
abr 2009;110,40
mai 2009;116,50
jun 2009;129,90
jul 2009;137,70
ago 2009;131,40
set 2009;131,90
out 2009;136,40
nov 2009;134,20
dez 2009;122,60
jan 2010;118,10
fev 2010;116,80
mar 2010;105,40
abr 2010;91,80
mai 2010;93,80
jun 2010;95,60
jul 2010;87,90
ago 2010;77,50
set 2010;78,50
out 2010;69,80
nov 2010;71,20
dez 2010;61,70
jan 2011;63,00
fev 2011;51,00
mar 2011;56,20
abr 2011;61,40
mai 2011;59,30
jun 2011;52,90
jul 2011;55,70
ago 2011;54,40
set 2011;49,50
out 2011;42,80
nov 2011;42,90
dez 2011;41,50
jan 2012;48,90
fev 2012;53,20
mar 2012;65,20
abr 2012;49,60
mai 2012;54,20
jun 2012;58,80
jul 2012;59,00
ago 2012;55,20
set 2012;63,80
out 2012;73,50
nov 2012;81,80
dez 2012;84,00
jan 2013;91,20
fev 2013;79,80
mar 2013;67,80
abr 2013;57,80
mai 2013;63,90
jun 2013;73,80
jul 2013;77,20
ago 2013;61,70
set 2013;58,70
out 2013;68,16
nov 2013;72,40
dez 2013;72,05
jan 2014;78,02
fev 2014;64,89
mar 2014;65,65
abr 2014;64,88
mai 2014;64,73
jun 2014;67,67
jul 2014;66,03
ago 2014;68,11
set 2014;73,96
out 2014;64,77
nov 2014;71,30
dez 2014;84,45
jan 2015;83,43
fev 2015;86,37
mar 2015;93,79
abr 2015;97,76
mai 2015;112,90
jun 2015;115,55
jul 2015;84,64
ago 2015;92,24
set 2015;82,75
out 2015;86,01
nov 2015;90,92
dez 2015;81,35
jan 2016;82,93
fev 2016;82,69
mar 2016;82,37
abr 2016;99,50
mai 2016;98,45
jun 2016;108,90
jul 2016;122,53
ago 2016;123,98
set 2016;120,19
out 2016;129,31
nov 2016;158,15
dez 2016;168,13
jan 2017;165,61
fev 2017;166,90
mar 2017;179,63
abr 2017;205,73
mai 2017;214,55
jun 2017;211,99
jul 2017;159,25
ago 2017;119,65
set 2017;121,23
out 2017;94,97
nov 2017;112,50
