Data_publicacao,tweet
2020-09-29 10:09:05,Ships that transport coal and iron ore to China are seeing a surge in earnings as the nation’s demand for commoditi… https://t.co/emT2GlXair
2020-09-29 08:05:04,Australian authorities are contending with a rising number of coronavirus cases on a ship stranded off the world's… https://t.co/d8oJ3LWaWF
2020-09-28 03:32:07,|Australia’s budget deficit is set to widen from estimates due to Melbourne’s renewed lockdown, but will be somewhat… https://t.co/lBSZL5e8v1|
2020-09-27 15:59:42,Australia predicts a rally in prices may plateau and warned of risks to demand given the market’s reliance on China… https://t.co/Khf7o6Vaa6
2020-09-17 11:22:02,Iron ore's blistering performance in the first half of the year may be thrown into reverse https://t.co/ataxixnFmg https://t.co/Zifiltpe1S
2020-09-15 06:23:04,Australia’s central bank said the appreciation of the currency was consistent with higher commodity prices -- parti… https://t.co/HBAl7pft78
2020-09-03 01:48:05,|If China wants to turn the screw on Australia, commodity trades like coal, dairy and iron ore could be affected https://t.co/0ldej6Oj4d|
2020-08-31 01:53:04,|A twin-speed economy is developing in Australia and posing a challenge for the central bank, as Chinese demand for… https://t.co/KqwdtAdOd3|
2020-08-30 20:33:14,|A twin-speed economy is developing in Australia and posing a challenge for the central bank, as Chinese demand for… https://t.co/hH2lOHy6jl|
2020-08-28 08:39:04,Here's the latest on what's moving stocks in South Africa today https://t.co/NmIfGa8yAb
2020-08-19 07:32:05,Iron ore's stunning rally risks slowing down as miners ramp up output https://t.co/xoaWQnAHCo https://t.co/hWoYusL18e
2020-08-07 05:16:07,|China followed up its massive import pull in June with a record iron ore haul last month, although port congestion… https://t.co/GDof7mf8co|
2020-07-30 20:22:02,Producers don’t typically talk down the price of their commodities. But that’s what Vale is doing with iron ore https://t.co/QX07gJkJBv
2020-07-30 07:03:07,The diamond market is collapsing https://t.co/Ur8dicACof
2020-07-29 20:45:03,|Australia is lowballing the price estimate of iron ore, its largest export, setting up a buffer for the economy and… https://t.co/P28HK1IdQ0|
2020-07-29 05:45:06,|China’s purchases of iron ore from India rocketed to an eight-year high in the first half of 2020, fueled by supply… https://t.co/CjyOOvTWRJ|
2020-07-20 07:14:02,Rio Tinto says its making progress with a major new iron ore hub in Guinea https://t.co/cD79QBrxjt
2020-07-04 02:05:25,Here's what to watch in commodities next week https://t.co/Ulzyuqdi2z
2020-07-01 18:08:00,The cost of moving commodities like coal and iron ore across the world’s oceans is surging https://t.co/6uUDU7qkIJ
2020-06-30 00:04:04,A souring relationship with Australia and supply shocks in Brazil may reignite China’s ambitions to reduce its depe… https://t.co/0U50nCzzZn
2020-06-28 15:32:49,Top iron ore shipper Australia predicts elevated prices will stay for the rest of 2020 as Chinese demand strengthen… https://t.co/np5uEmUA10
2020-05-29 09:07:05,|Iron ore futures powers toward $100 a ton in Singapore, lifted by a record monthly advance driven by supply woes in… https://t.co/4ZHvkUb90V|
2020-05-13 17:52:06,|Iconic Brazilian companies Vale and Eletrobras were removed from Norway's sovereign wealth fund, the world's bigges… https://t.co/zLPe5Yko0Q|
2020-05-07 04:25:10,Australia's trade surplus swelled to a record in March as prices and volumes of commodities like iron ore surged https://t.co/8VdfZ8woSw
2020-04-21 09:46:05,Here's the latest from companies across Europe https://t.co/RVu0MfFN59
2020-03-12 13:03:05,Rio Tinto will pay former CEO Sam Walsh about $4.4 million in bonuses withheld amid probes related to an African ir… https://t.co/LOi8gqkH3V
2020-03-05 04:28:14,JUST IN: China plans to approve developing giant Simandou iron ore mine https://t.co/D0qOL8YDeR
2020-02-26 13:58:05,Rio Tinto rejects targets for reducing the carbon emissions generated by its iron ore customers https://t.co/mh942hMdL2
2020-02-26 08:28:02,Rio Tinto rejects targets for reducing the carbon emissions generated by its iron ore customers https://t.co/XQJ7DqEUJH
2020-02-18 04:32:05,BHP Warns Over Virus Impact as Iron Ore Profits Boost New CEO https://t.co/eFlHUxLBxQ
2020-02-12 05:35:08,Top Indian iron ore miner targets 50% jump in output next year https://t.co/svRALGuJFg
2020-02-09 15:02:12,Here's who's circling around iron ore riches buried under an African jungle https://t.co/VUzz1beOns
2020-02-09 09:01:04,Here's who's circling around iron ore riches buried under an African jungle https://t.co/gDoFDVkpfE
2020-02-08 23:09:02,Here's who's circling around iron ore riches buried under an African jungle https://t.co/9u1zLECTlI
2020-02-08 06:13:04,Here's who's circling around iron ore riches buried under an African jungle https://t.co/YTLYLbhEQ9
2020-02-05 11:41:08,Here's who's circling around iron ore riches buried under an African jungle https://t.co/YAUJlc5Kti
2020-02-05 00:41:04,Here's who's circling around iron ore riches buried under an African jungle https://t.co/60pI4VaCDp
2020-02-04 12:41:05,Here's who's circling around iron ore riches buried under an African jungle https://t.co/HGxCNTwFGm
2020-02-04 07:04:05,Big names including billionaire Robert Friedland and ex-Xstrata CEO Mick Davis are circling Guinea’s iron ore depos… https://t.co/gCPqzvOBEw
2020-01-21 15:06:02,|Ships along India's coast, hauling everything from iron ore to consumer goods, may run out of fuel as the nation st… https://t.co/aS7SeyfWZg|
2020-01-21 10:10:49,|Ships along India's coast, hauling everything from iron ore to consumer goods, may run out of fuel as the nation st… https://t.co/QgDlCz5SgQ|
2019-12-04 23:15:03,Buying iron ore is getting more like shopping on Amazon https://t.co/c5pqZ9c6nz
2019-12-03 18:34:41,Shares top iron ore miner Cleveland-Cliffs are headed for their steepest decline in 3 months after agreeing to buy… https://t.co/jNCGpXsMEE
2019-11-27 01:52:03,|Rio Tinto raises iron ore spending to $4 billion, a sign of confidence in demand from China https://t.co/mXuWdbPZI1|
2019-11-12 09:32:37,Anglo American raises its production forecast for its giant Brazil iron ore operations for a second time https://t.co/tlP5CwujDL
2019-11-04 00:03:39,Australian mining magnate Gina Rinehart’s fortune swelled $2.1 billion after her closely held company reported impr… https://t.co/Ln4QDEp5LR
2019-10-31 08:48:22,Iron ore shipments from Rio Tinto could rise as much as 5% in 2020 https://t.co/FeT5HJkSfg
2019-10-30 06:30:37,|Iron ore exports from Australia’s Port Hedland, the largest bulk-export terminal, are expected to hit a record https://t.co/rK9xmQEuGF|
2019-10-25 12:40:05,China’s old-school appetite for iron ore has catapulted a miner ahead of some of the hottest tech sector giants as… https://t.co/BCwCAo4rbA
2019-10-25 06:37:05,China’s old-school appetite for iron ore has catapulted a miner ahead of some of the hottest tech sector giants as… https://t.co/1IOW6VB0N5
2019-10-22 08:09:30,Anglo American raises its production forecast this year for the Minas-Rio mine in Brazil https://t.co/gdFkJsgSO1
2019-10-03 04:36:38,Higher iron ore imports by India loom as mining leases expire https://t.co/gF2IWQu6Pu https://t.co/tg1CtNgLA0
2019-09-29 20:42:03,The world’s top iron ore exporter cut its outlook for global steel demand https://t.co/Ni4Ygv9OoT
2019-09-27 09:36:04,|ArcelorMittal is evaluating a potential sale of some of its iron ore operations, as the world’s biggest steelmaker… https://t.co/mqO4w5eVkV|
2019-09-16 07:51:44,Most valuable steel mill in India predicts iron ore price will fall to $60 next year https://t.co/VxqyEIeXs4
2019-09-12 03:52:04,Iron ore’s glory days seen numbered as China’s demand rolls over https://t.co/o6SoZ6a833 https://t.co/f6bsTEBgRG
2019-09-03 02:11:33,|Australia posts its first current-account surplus since 1975, underpinned by a surge in iron ore prices… https://t.co/GugDR5fG9J|
2019-08-30 18:29:17,Coal and iron ore shipping costs just hit a nine-year high because owners are taking their vessels out of the marke… https://t.co/IV3RLQUx19
2019-08-12 04:18:50,|Iron ore sank toward $80 a ton, extending this month’s rout, after China poured fuel on demand fears https://t.co/t4eibwStwT|
2019-08-09 08:34:38,Iron ore is heading for its worst week since 2016 on concerns demand is slowing just as supply picks up… https://t.co/TLxG9X7ovO
2019-08-07 08:35:27,Iron ore extends epic sell-off with retreat back into the $80s https://t.co/wJVCpzTTl4 https://t.co/VGKewhfmOB
2019-08-06 02:54:32,Iron ore collapses into a bear market https://t.co/gLTiy3dJxD
2019-08-05 04:18:02,Iron ore futures collapse back below $100 as rout gathers pace https://t.co/pYh1lrgkho https://t.co/1sN0rTB3Sg
2019-08-01 14:26:47,Rio Tinto missed out on the full benefits of iron ore's dramatic rally after missteps at key operations in Australia https://t.co/I1FTPQwM8x
2019-07-25 14:09:31,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin… https://t.co/so5lUZMxuo
2019-07-25 11:39:55,The mining industry is starting to split on who bears responsibility for all the carbon emissions caused by smeltin… https://t.co/iXi0uwOq0U
2019-07-25 10:35:06,Anglo American plans to buy back up to $1 billion of shares after the diversified miner reaped bumper profits from… https://t.co/Ra3KFX2MB5
2019-07-20 13:00:06,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fXo0sYNFad
2019-07-19 19:59:06,Vale's second-quarter production due next week may offer clues on an end to shortages https://t.co/fofAcD5bVr
2019-07-17 02:39:57,BHP forecasts iron ore production will rise as much as 6% this fiscal year after output slumped to a first annual d… https://t.co/3rFQuNBSvr
2019-07-12 17:08:21,|Forget about oil, bonds and tech. This tiny ETF has gained more than 20% so far in July https://t.co/kuOyip7Cy5 https://t.co/44t3eGLiqK|
2019-07-12 07:38:02,The world’s largest mining company says it could build 11 more iron ore mines over the next 50 to 100 years in nort… https://t.co/ZNMA3O9ROV
2019-07-04 07:02:08,|Iron ore prices race past $120, triggering warnings https://t.co/DoluF8kNTu|
2019-07-03 05:34:10,Australia trade surplus rockets to record on resurgent iron ore https://t.co/jPGLCQDMUl https://t.co/Qn4rQTYt1T
2019-06-30 15:31:14,Australia's iron ore exports to drop for the first time in 18 years https://t.co/FcNt38Y7t7
2019-06-25 13:52:03,South African mining stocks haven’t had it this good in more than a decade https://t.co/qempSHZkbb
2019-06-20 02:55:04,Millennials’ shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/sf4pX8Zjap
2019-06-19 19:36:30,Millennials’ shopping habits have helped fuel hefty gains at an Australian hedge fund this year https://t.co/nZ89WgFuE6
2019-06-11 00:20:05,Iron ore prices are near a five-year high and one of Asia’s top steelmakers warned that it will seek to pass the su… https://t.co/YTQr37YcCD
2019-06-10 21:45:07,Iron ore prices are near a five-year high and one of Asia’s top steelmakers warned that it will seek to pass the su… https://t.co/nIir3PpuTq
2019-05-28 19:17:45,The steel industry is facing a double whammy of falling prices and rising costs for iron ore https://t.co/lKM5e1EAmW
2019-05-28 03:05:44,|-Stock benchmarks in Japan, Australia ⬆
-Yuan dips
-U.S. 10-year yields approached their lowest levels since Octobe… https://t.co/2BBA64KnOF|
2019-05-17 16:18:43,|Guinea has some of the world’s richest iron ore deposits, but it has never exported a ton https://t.co/hQnvnZkDre|
2019-05-17 12:06:00,Iron ore surges to the highest since 2014 📈 https://t.co/ejLAo2Ai0m
2019-05-17 07:28:11,|Guinea has some of the world’s richest iron ore deposits, but it has never exported a ton https://t.co/bTPSlQ1D6G|
2019-05-12 19:45:08,|From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/MWZ4D3jo3J|
2019-05-12 13:05:30,|From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/KZXSRES7cj|
2019-05-12 05:09:21,|From pork in China to iron ore in Brazil, inflation is flickering in parts of the global economy https://t.co/HJyzKtRQF5|
2019-04-18 12:14:03,The rally in iron ore looks precarious https://t.co/6YlvcmOkAU
2019-04-18 08:25:25,|Mining dealmaker Mick Davis has won permission to export iron ore from a planned mine in West Africa, adding moment… https://t.co/frtr24iATM|
2019-04-18 07:59:39,The rally in iron ore looks precarious https://t.co/5LtRXlQMcP
2019-04-08 13:05:04,|Iron ore is poised to hit $100 a ton thanks to “very, very low” seaborne cargoes and a possible pick-up in Chinese… https://t.co/lC6kQeNoR3|
2019-04-03 20:57:33,The world’s biggest iron ore export port is expecting a timely boost in shipments https://t.co/2D0GWMLkso
2019-04-03 11:42:03,Iron ore thunders higher https://t.co/wLzqchjv9W
2019-03-27 05:36:27,|The global iron ore market is likely to have a shortfall, mining billionaire Andrew Forrest says https://t.co/9xrzbcczq9|
2019-03-20 17:49:23,The Vale mine ruling has analysts weighing the iron ore market impact https://t.co/KYSkKDga7d
2019-03-20 10:59:03,Cyclone lurks off West Australia near a key export point for iron ore shipments https://t.co/mdWjQyV29p
2019-03-18 19:37:03,Vale shares declined on Monday as the world’s iron ore producer faces continued backlash from Brazilian authorities https://t.co/VqEDVEEXlp
2019-02-26 04:13:32,India’s pellet exports are expected to rise as buyers seek alternative sources of iron ore following output cuts by… https://t.co/mWq2zKpy0t
2019-02-26 02:42:31,|Guinea sits on some of the richest iron ore deposits in the world, but they’ve been more of a curse than a blessing… https://t.co/CIrW68Ve6O|
